Round,OPP_final,OPP_current,P
2.0,6.0,1.0,0.0
2.0,6.0,2.0,0.0
2.0,6.0,3.0,0.0
2.0,6.0,4.0,0.0
2.0,6.0,5.0,0.0
2.0,6.0,6.0,1.0
2.0,6.0,7.0,0.0
2.0,6.0,8.0,0.0
2.0,6.0,9.0,0.0
2.0,6.0,10.0,0.0
2.0,6.0,11.0,0.0
2.0,6.0,12.0,0.0
2.0,6.0,13.0,0.0
2.0,6.0,14.0,0.0
2.0,6.0,15.0,0.0
2.0,6.0,16.0,0.0
2.0,6.0,17.0,0.0
2.0,7.0,1.0,0.0
2.0,7.0,2.0,0.0
2.0,7.0,3.0,0.0
2.0,7.0,4.0,0.0
2.0,7.0,5.0,0.0
2.0,7.0,6.0,0.0
2.0,7.0,7.0,1.0
2.0,7.0,8.0,0.0
2.0,7.0,9.0,0.0
2.0,7.0,10.0,0.0
2.0,7.0,11.0,0.0
2.0,7.0,12.0,0.0
2.0,7.0,13.0,0.0
2.0,7.0,14.0,0.0
2.0,7.0,15.0,0.0
2.0,7.0,16.0,0.0
2.0,7.0,17.0,0.0
2.0,8.0,1.0,0.0
2.0,8.0,2.0,0.0
2.0,8.0,3.0,0.0
2.0,8.0,4.0,0.0
2.0,8.0,5.0,0.0
2.0,8.0,6.0,0.0
2.0,8.0,7.0,0.0
2.0,8.0,8.0,1.0
2.0,8.0,9.0,0.0
2.0,8.0,10.0,0.0
2.0,8.0,11.0,0.0
2.0,8.0,12.0,0.0
2.0,8.0,13.0,0.0
2.0,8.0,14.0,0.0
2.0,8.0,15.0,0.0
2.0,8.0,16.0,0.0
2.0,8.0,17.0,0.0
2.0,9.0,1.0,5e-05
2.0,9.0,2.0,5e-05
2.0,9.0,3.0,5e-05
2.0,9.0,4.0,5e-05
